Company,Ticker,Sector,Last Sale,Net Change,% Change,Market Cap,Volume,52 wk high,52 wk low,beta,P/E,Avg Volume
"ARROW ELECTRONICS, INC. (XNYS:ARW)",ARW,Technology,$102.77,-1.015,-0.98%,7666601239,171252,$108.27,$39.25,1.57,13.86,"628,252"
ASA Gold & Prec Met Ltd (XNYS:ASA),ASA,,$19.45,0.76,4.07%,375188652,49179,$25.45,$8.16,#FIELD!,#FIELD!,"87,696"
"ASANA, INC. (XNYS:ASAN)",ASAN,Technology,$35.27,-1.7,-4.60%,5613587625,451472,$43.72,$20.57,#FIELD!,0,"1,097,072"
ATLANTIC AVENUE ACQUISITION CORP (XNYS:ASAQ),ASAQ,Finance,$10.05,-0.19,-1.86%,323484375,74828,$10.65,$9.55,#FIELD!,0,"107,867"
ASSOCIATED BANC-CORP (XNYS:ASB),ASB,Finance,$20.69,-0.09,-0.43%,3162091970,588850,$21.46,$10.23,1.24,11.11,"1,373,987"
ARDMORE SHIPPING CORPORATION (XNYS:ASC),ASC,Transportation,$4.10,0.3036,7.99%,136184544,248777,$7.92,$2.61,1.1,0,"386,834"
Liberty All-Star Growth (XNYS:ASG),ASG,,$9.32,0.04,0.43%,388099796,122696,$9.45,$3.90,1.06,#FIELD!,"173,544"
Aberdeen Std Gl Infra I (XNYS:ASGI),ASGI,,$19.40,-0.05,-0.26%,169380352,7378,$20.64,$16.21,#FIELD!,#FIELD!,"21,449"
ASGN Incorporated (XNYS:ASGN),ASGN,Technology,$93.65,-1.99,-2.08%,4954085000,53098,$100.97,$29.04,2.2,25.4,"205,768"
ASHLAND GLOBAL HOLDINGS INC. (XNYS:ASH),ASH,Consumer Durables,$88.04,2.45,2.86%,5341156840,188791,$89.62,$38.88,1.3,0,"595,961"
ADVANSIX INC. (XNYS:ASIX),ASIX,Basic Industries,$28.91,-0.235,-0.81%,810320891,85512,$30.43,$8.06,1.86,17.85,"252,950"
ASPIRATIONAL CONSUMER LIFESTYLE CORP. (XNYS:ASPL),ASPL,Finance,$10.87,-0.41,-3.64%,325755312,1058107,$11.75,$9.65,#FIELD!,0,"1,475,782"
"ASPEN AEROGELS, INC. (XNYS:ASPN)",ASPN,Consumer Services,$24.09,-0.13,-0.54%,647248193,106721,$26.98,$4.09,1.53,0,"346,679"
Southeast Airport Group (XNYS:ASR),ASR,Transportation,$185.05,-0.01,-0.01%,5551500000,20460,$190.25,$82.08,1.35,55.93,"60,490"
"ASE Technology Holding Co., Ltd. (XNYS:ASX)",ASX,Technology,$7.53,-0.18,-2.34%,16105670325,2423649,$9.00,$3.17,#FIELD!,19.93,"3,404,551"
ATLANTIC POWER CORPORATION (XNYS:AT),AT,Energy,$2.88,0,0.00%,256960996,292932,$3.06,$1.70,0.12,0,"1,550,613"
Atari SA (XPAR:ATA),ATA,Finance,$10.01,-0.0699,-0.69%,0,91808,€ 0.49,€ 0.17,0.5,115.16,#FIELD!
ATAC Rotation Fund;Institutional,ATCIX,Finance,$10.06,-0.03,-0.30%,345812500,168129,#FIELD!,#FIELD!,#FIELD!,#FIELD!,#FIELD!
ATLAS CORP. (XNYS:ATCO),ATCO,Transportation,$13.70,0.225,1.67%,3369408089,266876,$14.17,$5.39,1.15,14.64,"721,732"
"A10 NETWORKS, INC. (XNYS:ATEN)",ATEN,Technology,$9.68,0.035,0.36%,738647550,239694,$11.86,$3.43,0.97,43,"1,220,253"
ADTALEM GLOBAL EDUCATION INC. (XNYS:ATGE),ATGE,Consumer Services,$38.42,-0.57,-1.46%,1926902234,143851,$43.85,$19.76,1.3,7.25,"597,761"
ATHENE HOLDING LTD. (XNYS:ATH),ATH,Finance,$47.12,0.38,0.81%,9028849230,360786,$48.59,$13.37,1.63,6.7,"1,149,060"
AUTOHOME INC. (XNYS:ATHM),ATHM,Technology,$118.00,1.49,1.28%,3512778816,232149,$147.67,$59.54,0.59,26.79,"804,212"
ALLEGHENY TECHNOLOGIES INCORPORATED (XNYS:ATI),ATI,Basic Industries,$20.24,-0.59,-2.83%,2566764827,512284,$22.05,$4.95,1.91,0,"1,406,949"
ATKORE INC (XNYS:ATKR),ATKR,Miscellaneous,$69.71,-0.245,-0.35%,3249993882,190360,$70.85,$10.85,2.5,16.86,"656,350"
ATMOS ENERGY CORPORATION (XNYS:ATO),ATO,Public Utilities,$86.87,1.12,1.31%,11133319575,504566,$113.15,$77.92,0.34,16.68,"1,176,755"
"APTARGROUP, INC. (XNYS:ATR)",ATR,Consumer Non-Durables,$130.17,-0.43,-0.33%,8482296608,99506,$144.76,$79.84,0.63,40.68,"238,990"
Atento SA (XNYS:ATTO),ATTO,Public Utilities,$22.96,-0.25,-1.08%,322056752,3457,$25.26,$3.78,1.8,0,"24,808"
"ALTICE USA, INC. (XNYS:ATUS)",ATUS,Consumer Services,$33.82,0.13,0.39%,16004194002,1224025,$38.30,$15.96,1.11,43.01,"5,078,961"
ANGLOGOLD ASHANTI LTD (XNYS:AU),AU,Basic Industries,$20.65,0.78,3.93%,8608780297,2944866,$38.50,$12.66,0.6,8.8,"3,161,701"
YAMANA GOLD INC. (XNYS:AUY),AUY,Basic Industries,$4.29,0.24,5.93%,4136679051,12576391,$7.02,$2.23,1.62,19,"18,132,571"
AVISTA CORPORATION (XNYS:AVA),AVA,Public Utilities,$39.43,-0.37,-0.93%,2731073014,172279,$53.00,$32.09,0.58,20.97,"384,481"
Grupo Aval Acciones y Valores SA (XNYS:AVAL),AVAL,Finance,$6.41,-0.065,-1.01%,7135495739,13511,$8.36,$3.32,0.89,0,"123,991"
AVANTI ACQUISITION CORP. (XNYS:AVAN),AVAN,Finance,$10.27,-0.24,-2.28%,793357500,470025,$11.40,$9.65,#FIELD!,0,"864,697"
"AVALONBAY COMMUNITIES, INC. (XNYS:AVB)",AVB,Consumer Services,$177.82,0.8,0.45%,24825269357,270675,$218.03,$118.17,0.96,30.07,"948,836"
AMERICAN VANGUARD CORPORATION (XNYS:AVD),AVD,Basic Industries,$20.53,0.18,0.89%,621803956,26861,$20.60,$11.35,0.87,56.48,"95,567"
Advent Conv and Inc (XNYS:AVK),AVK,,$17.54,0,0.00%,605572394,68077,$17.98,$7.61,1.21,#FIELD!,"167,285"
"AVALARA, INC. (XNYS:AVLR)",AVLR,Technology,$159.22,-3.885,-2.38%,13464951226,205359,$185.37,$55.50,#FIELD!,0,"815,489"
"AVANOS MEDICAL, INC. (XNYS:AVNS)",AVNS,Health Care,$45.78,-1.5528,-3.28%,2195720519,53704,$53.61,$19.46,0.98,0,"238,840"
AVIENT CORPORATION (XNYS:AVNT),AVNT,Basic Industries,$45.65,0.63,1.40%,4175860957,301088,$46.38,$8.69,1.64,30.76,"467,350"
"AVANTOR, INC. (XNYS:AVTR)",AVTR,Capital Goods,$28.77,0.3,1.05%,16709558604,2613738,$31.05,$6.66,#FIELD!,331.09,"4,684,705"
AVERY DENNISON CORPORATION (XNYS:AVY),AVY,Consumer Durables,$178.48,0.005,0.00%,14887977934,200551,$181.70,$76.96,0.98,26.91,"537,728"
AVAYA HOLDINGS CORP. (XNYS:AVYA),AVYA,Public Utilities,$30.56,-0.72,-2.30%,2564075649,213351,$34.06,$6.13,#FIELD!,0,"1,764,186"
AllianceBernstein Gl HI (XNYS:AWF),AWF,,$11.81,0.03,0.26%,1018372485,97604,$12.15,$7.28,#FIELD!,#FIELD!,"192,440"
"ARMSTRONG WORLD INDUSTRIES, INC. (XNYS:AWI)",AWI,Consumer Non-Durables,$85.05,-2.52,-2.88%,4064396106,132361,$111.20,$57.96,1.16,0,"379,266"
"AMERICAN WATER WORKS COMPANY, INC. (XNYS:AWK)",AWK,Public Utilities,$139.55,-4.465,-3.10%,25318940839,809536,$172.56,$92.00,0.19,37,"892,971"
Aberdeen Glbl Prem Prop (XNYS:AWP),AWP,,$5.52,-0.06,-1.08%,471451890,261798,$6.35,$2.97,1.14,#FIELD!,"446,480"
AMERICAN STATES WATER COMPANY (XNYS:AWR),AWR,Public Utilities,$71.91,-1.51,-2.06%,2653350497,99361,$96.64,$65.11,-0.01,31.54,"172,031"
"AXOS FINANCIAL, INC. (XNYS:AX)",AX,Finance,$47.38,-0.45,-0.94%,2799075130,110888,$48.44,$13.69,1.77,13.86,"326,708"
"AMERICAN AXLE & MANUFACTURING HOLDINGS, INC. (XNYS:AXL)",AXL,Capital Goods,$10.64,0.265,2.56%,1204898812,1072991,$11.06,$2.50,2.67,0,"2,071,619"
"AXOS FINANCIAL, INC. (XNYS:AXO)",AXO,Finance,$25.09,0.0001,0.00%,0,5985,$27.06,$14.28,1.77,0,"2,903"
AMERICAN EXPRESS COMPANY (XNYS:AXP),AXP,Finance,$139.68,0.97,0.70%,1.13E+11,1003861,$140.95,$67.00,1.28,36.85,"3,951,839"
AMREP CORPORATION (XNYS:AXR),AXR,Consumer Services,$7.72,0.26,3.49%,56536416,24453,$9.49,$3.98,0.58,0,"15,474"
AXIS CAPITAL HOLDINGS LIMITED (XNYS:AXS),AXS,Finance,$49.95,-0.02,-0.04%,4213432350,119483,$59.49,$31.82,0.88,0,"466,628"
AXALTA COATING SYSTEMS LTD. (XNYS:AXTA),AXTA,Basic Industries,$29.15,0.905,3.21%,6818997972,1334483,$31.48,$12.92,1.46,54.97,"3,081,893"
"ACUITY BRANDS, INC. (XNYS:AYI)",AYI,Consumer Durables,$125.59,-1.6,-1.26%,4524599784,185743,$135.59,$67.46,1.52,19.86,"384,799"
"ALTERYX, INC. (XNYS:AYX)",AYX,Technology,$93.52,-2.66,-2.77%,6253106317,1966575,$185.75,$75.17,0.79,0,"1,801,454"
THE AZEK COMPANY INC. (XNYS:AZEK),AZEK,Consumer Non-Durables,$44.09,-0.839,-1.87%,6822652539,376683,$48.79,$26.35,#FIELD!,0,"1,195,964"
"AUTOZONE, INC. (XNYS:AZO)",AZO,Consumer Services,"$1,183.56",14.17,1.21%,26936767497,253551,"$1,297.82",$684.91,0.9,15.34,"265,422"
AZURE POWER GLOBAL LIMITED (XNYS:AZRE),AZRE,Public Utilities,$31.04,-1.7,-5.19%,1490987528,104935,$53.60,$12.56,0.83,0,"379,442"
Azul SA (XNYS:AZUL),AZUL,Transportation,$20.55,-0.83,-3.88%,2342874696,1435297,$31.10,$5.30,1.62,0,"1,353,201"
AZZ INC. (XNYS:AZZ),AZZ,Consumer Durables,$51.84,-0.52,-0.99%,1314872456,29504,$53.71,$19.31,1.55,106.12,"118,701"
BARNES GROUP INC. (XNYS:B),B,Capital Goods,$52.46,-1.03,-1.93%,2657058448,49450,$57.06,$30.22,1.32,43.23,"177,033"
THE BOEING COMPANY (XNYS:BA),BA,Capital Goods,$225.03,0.635,0.28%,1.31E+11,7852878,$297.44,$89.00,1.65,0,"13,328,328"
Alibaba Group Holding Limited (XNYS:BABA),BABA,Miscellaneous,$238.30,-3.386,-1.40%,6.46E+11,7965963,$319.32,$169.95,0.84,27.26,"15,665,366"
BANK OF AMERICA CORPORATION (XNYS:BAC),BAC,Finance,$35.67,-0.12,-0.34%,3.08E+11,24799852,$37.03,$17.95,1.57,19.11,"50,398,536"
BlackRock Muni Inv Qly (XNYS:BAF),BAF,,$14.55,-0.0516,-0.35%,127304032,13549,$16.26,$10.25,#FIELD!,#FIELD!,"23,390"
BOOZ ALLEN HAMILTON HOLDING CORPORATION (XNYS:BAH),BAH,Consumer Services,$79.90,0.51,0.64%,11002722983,686687,$100.26,$54.37,0.74,20.24,"1,549,152"
Braskem SA (XNYS:BAK),BAK,Basic Industries,$10.68,-0.735,-6.44%,4247281252,255834,$13.34,$3.86,1.41,0,"264,270"
BALLY'S CORPORATION (XNYS:BALY),BALY,Consumer Services,$63.11,-1.315,-2.04%,1937162456,178899,$66.97,$7.22,#FIELD!,0,"355,021"
Brookfield Asset Management Inc. (XNYS:BAM),BAM,Consumer Services,$42.01,0.72,1.74%,63419796345,1236161,$44.24,$21.57,1.31,0,"2,968,078"
Brookfield Finance Inc (XNYS:BAMH),BAMH,Consumer Services,$23.45,0.31,1.34%,0,107772,$25.90,$22.67,#FIELD!,0,"82,989"
Brookfield Finance I (Uk) PLC (XNYS:BAMI),BAMI,Consumer Services,$23.37,0.04,0.17%,0,16070,$26.08,$22.85,#FIELD!,0,"30,601"
"BANC OF CALIFORNIA, INC. (XNYS:BANC)",BANC,Finance,$19.24,-0.01,-0.05%,966623218,116467,$20.00,$6.44,1.9,0,"194,739"
CREDICORP LTD. (XNYS:BAP),BAP,Finance,$159.47,0.7075,0.45%,12672403823,100436,$185.82,$110.19,1.04,132.34,"354,606"
BAXTER INTERNATIONAL INC. (XNYS:BAX),BAX,Health Care,$77.93,-0.01,-0.01%,39362746459,1474536,$95.19,$69.10,0.66,36.57,"3,062,905"
BLACKBERRY LIMITED (XNYS:BB),BB,Technology,$10.67,-0.245,-2.25%,6000492591,8217146,$28.77,$2.70,0.99,0,"78,273,713"
Banco Bbva Argentina SA (XNYS:BBAR),BBAR,Finance,$2.72,0.005,0.19%,554502621,218033,$5.09,$2.10,1.36,2.62,"435,651"
Banco Bradesco SA (XNYS:BBD),BBD,Finance,$4.03,0.06,1.51%,35619880960,29359255,$6.29,$2.68,1.06,0,"27,141,532"
"Barings BDC, Inc. (XNYS:BBDC)",BBDC,,$10.06,0.11,1.11%,657080218,220084,$10.22,$4.67,0.7,0,"325,257"
Banco Bradesco SA (XNYS:BBDO),BBDO,Finance,$3.54,-0.04,-1.12%,31288927692,26409,$5.61,$2.58,1.24,0,"42,099"
BlackRock Muni Inc Inv (XNYS:BBF),BBF,,$13.60,-0.03,-0.22%,139160300,42602,$14.64,$9.01,#FIELD!,#FIELD!,"34,450"
BlackRock Muni Bd Tr (XNYS:BBK),BBK,,$15.74,-0.011,-0.07%,165592408,36404,$16.82,$10.16,#FIELD!,#FIELD!,"31,848"
BHP GROUP PLC (XNYS:BBL),BBL,Energy,$66.27,1.17,1.80%,1.68E+11,1270713,$67.03,$23.64,1.09,23.69,"1,685,584"
BlackRock Tax Muni Bond (XNYS:BBN),BBN,,$24.74,-0.21,-0.84%,1415559441,142194,$27.49,$18.55,2.43,#FIELD!,"173,995"
BROOKFIELD BSNS PTNR UNT (XNYS:BBU),BBU,Basic Industries,$42.70,0.49,1.16%,3374665717,4028,$44.34,$18.60,#FIELD!,#FIELD!,"28,088"
Banco Bilbao Vizcaya Argentaria SA (XNYS:BBVA),BBVA,Finance,$5.52,-0.035,-0.63%,36703810691,1360738,$5.86,$2.49,1.45,9.88,"2,677,947"
"BUILD-A-BEAR WORKSHOP, INC. (XNYS:BBW)",BBW,Consumer Services,$7.66,0.04,0.53%,122255607,219257,$8.50,$1.01,2.06,0,"996,028"
"Best Buy Co., Inc. (XNYS:BBY)",BBY,Consumer Services,$103.37,1.68,1.65%,26767129351,1539931,$124.89,$48.11,1.55,14.86,"2,566,690"
BRUNSWICK CORPORATION (XNYS:BC),BC,Energy,$91.14,-1.48,-1.60%,7088391080,312318,$95.30,$25.22,1.87,19.7,"792,692"
BLACKROCK CAPITAL ALLOCATION TRUST (XNYS:BCAT),BCAT,,$21.55,-0.22,-1.01%,2155000000,65850,$24.00,$19.30,#FIELD!,0,"192,635"
BOISE CASCADE COMPANY (XNYS:BCC),BCC,Consumer Services,$52.13,-0.32,-0.61%,2043648585,258125,$54.37,$19.36,2.01,11.84,"406,969"
BCE Inc (XNYS:BCE),BCE,Public Utilities,$44.07,0.61,1.40%,39856908000,667185,$47.68,$31.66,0.3,23.08,"1,169,395"
"BONANZA CREEK ENERGY, INC. (XNYS:BCEI)",BCEI,Energy,$32.75,0.49,1.52%,682484684,141669,$33.17,$8.25,1.95,6.52,"306,123"
BANK OF CHILE (XNYS:BCH),BCH,Finance,$22.70,0.42,1.89%,11465438694,51209,$23.19,$12.50,0.6,17.25,"107,337"
THE BRINK'S COMPANY (XNYS:BCO),BCO,Transportation,$77.17,-2.52,-3.16%,3814751941,116960,$82.61,$33.17,1.58,0,"329,122"
BARCLAYS PLC (XNYS:BCS),BCS,Finance,$9.07,0.0799,0.89%,39365209883,3109147,$9.34,$3.41,1.64,19.04,"4,529,270"
"BAIN CAPITAL SPECIALTY FINANCE, INC. (XNYS:BCSF)",BCSF,,$14.72,0.09,0.62%,950356541,145617,$19.38,$6.97,#FIELD!,0,"315,724"
BlackRock Res & Comm Str (XNYS:BCX),BCX,,$9.21,0.13,1.43%,829593651,549590,$9.31,$3.27,0.64,#FIELD!,"610,844"
BELDEN INC. (XNYS:BDC),BDC,Basic Industries,$46.56,-0.03,-0.06%,2079230805,116613,$54.80,$25.54,1.54,38.55,"383,328"
BlackRock Enh Eq Div (XNYS:BDJ),BDJ,,$8.92,0.045,0.51%,1671940541,284937,$8.93,$4.65,16.28,#FIELD!,"624,763"
BRANDYWINE REALTY TRUST (XNYS:BDN),BDN,Consumer Services,$12.47,0.02,0.16%,2127848615,1427286,$14.72,$7.48,1.16,6.98,"2,273,569"
"BECTON, DICKINSON AND COMPANY (XNYS:BDX)",BDX,Health Care,$244.89,-1.17,-0.48%,71155236196,413590,$284.97,$197.75,0.78,47.29,"1,423,154"
"BECTON, DICKINSON AND COMPANY (XNYS:BDXB)",BDXB,Health Care,$53.24,-0.1001,-0.19%,0,7254,$61.08,$49.00,0.78,0,"151,821"
BLOOM ENERGY CORPORATION (XNYS:BE),BE,Energy,$29.09,-1.28,-4.22%,4834710874,2655263,$44.95,$3.00,#FIELD!,0,"4,494,754"
BRIGHT SCHOLAR EDUCATION HOLDINGS LIMITED (XNYS:BEDU),BEDU,Consumer Services,$6.52,0.0683,1.06%,778189032,14874,$8.78,$5.51,0.95,20.9,"32,506"
Ke Holdings Inc (XNYS:BEKE),BEKE,Finance,$65.35,-0.81,-1.22%,77033232352,1826188,$79.40,$31.79,#FIELD!,0,"5,307,595"
"FRANKLIN RESOURCES, INC. (XNYS:BEN)",BEN,Finance,$27.19,-0.015,-0.06%,13739400998,1687585,$28.59,$14.91,1.26,17.41,"3,647,371"
BROOKFIELD RENEWABLE PARTNERS UNT (XNYS:BEP),BEP,Public Utilities,$42.69,-0.02,-0.05%,11732852406,288629,$49.87,$16.04,#FIELD!,#FIELD!,"581,368"
BROOKFIELD RENEWABLE CORPORATION (XNYS:BEPC),BEPC,Public Utilities,$45.75,-0.425,-0.92%,7877361277,466584,$63.31,$26.89,#FIELD!,0,"1,423,931"
"Berry Global Group, Inc. (XNYS:BERY)",BERY,Consumer Non-Durables,$57.79,0.39,0.68%,7743860000,264311,$61.00,$25.00,1.33,12.1,"1,060,855"
BEST INC. (XNYS:BEST),BEST,Transportation,$2.31,0.005,0.22%,888347000,968700,$5.83,$1.91,0.7,0,"3,877,935"
BF SpA (XMIL:BFG),BFG,,$72.66,-0.2,-0.27%,,281619,€ 4.06,€ 2.71,0.04,427.96,#FIELD!
BRIGHT HORIZONS FAMILY SOLUTIONS INC. (XNYS:BFAM),BFAM,Miscellaneous,$166.67,3.83,2.35%,10094253881,237710,$182.49,$64.23,0.91,356.6,"404,640"
BlackRock Muni Inc (XNYS:BFK),BFK,,$15.19,0.13,0.86%,681173859,54195,$15.62,$9.25,#FIELD!,#FIELD!,"73,775"
"SAUL CENTERS, INC. (XNYS:BFS)",BFS,Consumer Services,$36.02,-0.66,-1.80%,842868000,6418,$45.06,$23.49,1.09,29.32,"48,763"
Foley Trasimene Acquisition Corp II (XNYS:BFT),BFT,Finance,$16.15,0.355,2.25%,2960656877,3749820,$19.57,$9.60,#FIELD!,0,"7,907,914"
BlackRock NY Muni Inc II (XNYS:BFY),BFY,,$14.92,-0.125,-0.83%,74648412,16475,$15.20,$10.15,1.84,#FIELD!,"15,949"
BlackRock CA Mun Inc (XNYS:BFZ),BFZ,,$13.97,0.02,0.14%,440764439,47481,$14.65,$10.10,2.08,#FIELD!,"52,858"
BUNGE LIMITED (XNYS:BG),BG,Consumer Non-Durables,$79.35,0.67,0.85%,11121933574,659220,$79.87,$29.00,0.68,10.44,"1,847,426"
Blackstone Strat Cr (XNYS:BGB),BGB,,$13.15,-0.02,-0.15%,587336623,79326,$14.10,$7.90,1.87,#FIELD!,"121,133"
Barings Glb SD HY (XNYS:BGH),BGH,,$15.70,0.0034,0.02%,315077933,26649,$17.16,$9.14,#FIELD!,#FIELD!,"63,049"
BlackRock 2022 Gl Inc Op (XNYS:BGIO),BGIO,,$9.21,0,0.00%,203976375,39843,$9.88,$5.66,2.01,#FIELD!,"53,097"
BlackRock Energy & Res (XNYS:BGR),BGR,,$8.71,0.08,0.93%,259778589,121026,$10.06,$4.14,0.9,#FIELD!,"239,824"
"B&G FOODS, INC. (XNYS:BGS)",BGS,Consumer Non-Durables,$30.66,-0.13,-0.42%,1969992657,806826,$47.84,$10.39,0.47,15.15,"2,936,972"
"BGSF, INC. (XNYS:BGSF)",BGSF,Technology,$14.26,-0.15,-1.04%,147120677,8113,$16.88,$5.69,2.59,75.71,"49,836"
BlackRock Fltg Rate Inc (XNYS:BGT),BGT,,$12.51,0.08,0.64%,282741050,68350,$12.70,$7.20,1.32,#FIELD!,"82,816"
Blackstone Lng Sh Cr Inc (XNYS:BGX),BGX,,$13.98,-0.03,-0.21%,177655002,25972,$15.64,$7.85,1.98,#FIELD!,"50,197"
BlackRock Enh Intl Div (XNYS:BGY),BGY,,$5.94,0.02,0.34%,623489261,118670,$6.09,$3.73,14.15,#FIELD!,"238,707"
BIGLARI HOLDINGS INC. (XNYS:BH),BH,Consumer Services,$139.75,0.25,0.18%,433638660,3621,$144.99,$37.85,2.6,0,"5,910"
BAUSCH HEALTH COMPANIES INC. (XNYS:BHC),BHC,Health Care,$32.26,0.51,1.61%,11472295587,1969828,$32.50,$11.15,1.56,0,"4,833,924"
"BENCHMARK ELECTRONICS, INC. (XNYS:BHE)",BHE,Technology,$29.90,0.175,0.59%,1090406224,135820,$30.76,$14.06,1.21,77.69,"219,691"
BlackRock Core Bond Tr (XNYS:BHK),BHK,,$15.72,0.1899,1.22%,847854787,100808,$16.59,$11.44,#FIELD!,#FIELD!,"156,195"
"BERKSHIRE HILLS BANCORP, INC. (XNYS:BHLB)",BHLB,Finance,$20.71,-0.1,-0.48%,1052751430,39186,$25.60,$8.55,1.27,0,"430,252"
BHP GROUP LIMITED (XNYS:BHP),BHP,Basic Industries,$80.45,1.69,2.15%,2.03E+11,2197915,$80.62,$29.78,0.97,28.66,"2,810,423"
BRAEMAR HOTELS & RESORTS INC. (XNYS:BHR),BHR,Consumer Services,$6.57,-0.24,-3.52%,256883249,613940,$7.48,$1.14,3.02,0,"462,246"
BlackRock VA Muni Bd Tr (XNYS:BHV),BHV,,$16.10,0.0199,0.12%,25890426,810,$17.49,$12.34,1.73,#FIELD!,"3,022"
Biohaven Pharmaceutical Holding Company Limited (XNYS:BHVN),BHVN,Health Care,$82.52,-3.86,-4.47%,4963393898,204713,$100.77,$26.56,1.08,0,"538,300"
Boulder Growth & Income (XNYS:BIF),BIF,,$11.95,0.02,0.17%,1174338211,41717,$11.98,$7.54,0.78,#FIELD!,"122,580"
"BIG LOTS, INC. (XNYS:BIG)",BIG,Consumer Services,$62.44,-0.06,-0.10%,2317149399,385937,$68.12,$10.13,2.42,3.99,"1,283,072"
Bill.com Holdings Inc (XNYS:BILL),BILL,Technology,$164.80,-6.68,-3.90%,13560100792,521726,$195.95,$23.61,#FIELD!,0,"1,707,066"
"BIO-RAD LABORATORIES, INC. (XNYS:BIO)",BIO,Capital Goods,$590.45,-6.855,-1.15%,17621273645,44577,$689.00,$309.38,0.83,5.11,"250,683"
"BIO-RAD LABORATORIES, INC. (XNYS:BIO)",BIO,,$600.70,0,0.00%,,13,$689.00,$309.38,0.83,5.11,"250,683"
BROOKFIELD INFRASTRUCTUR PARTNER UNT (XNYS:BIP),BIP,Consumer Services,$51.92,0.55,1.07%,15338724925,143047,$54.74,$22.99,#FIELD!,#FIELD!,"382,242"
BROOKFIELD INFRASTRUCTURE CORPORATION (XNYS:BIPC),BIPC,Public Utilities,$67.95,0.46,0.68%,3057750000,124251,$74.60,$32.54,#FIELD!,0,"224,353"
BlackRock Mlt-Sctr Inc (XNYS:BIT),BIT,,$17.87,0.17,0.96%,670796841,62471,$17.91,$8.41,0.93,#FIELD!,"147,129"
"BJ'S WHOLESALE CLUB HOLDINGS, INC. (XNYS:BJ)",BJ,Consumer Services,$38.69,-1.115,-2.80%,5310692661,1334226,$50.18,$19.13,#FIELD!,15.05,"2,261,917"
THE BANK OF NEW YORK MELLON CORPORATION (XNYS:BK),BK,Finance,$44.05,0.37,0.85%,39061954200,2229219,$46.84,$26.40,1.05,11.4,"6,703,327"
BROOKDALE SENIOR LIVING INC. (XNYS:BKD),BKD,Health Care,$5.77,0.065,1.14%,1057213804,1181565,$6.65,$1.47,1.84,13.02,"1,878,046"
"THE BUCKLE, INC. (XNYS:BKE)",BKE,Consumer Services,$37.70,-1.23,-3.16%,1862671459,144865,$42.36,$11.04,1.18,17.1,"562,958"
BLACK HILLS CORPORATION (XNYS:BKH),BKH,Public Utilities,$59.73,-0.13,-0.22%,3747859913,192257,$81.43,$48.07,0.31,16.39,"415,926"
"BLACK KNIGHT, INC. (XNYS:BKI)",BKI,Technology,$76.15,-1.38,-1.78%,11957782033,420966,$97.19,$50.01,0.77,45.18,"913,301"
BlackRock Inv Qual Muni (XNYS:BKN),BKN,,$17.80,0.09,0.51%,305964645,9851,$18.62,$10.73,#FIELD!,#FIELD!,"41,475"
BAKER HUGHES COMPANY (XNYS:BKR),BKR,Energy,$24.62,-0.36,-1.44%,25488020299,5464184,$25.64,$9.12,1.86,0,"6,288,225"
BlackRock Income Trust (XNYS:BKT),BKT,,$6.08,0.01,0.17%,387886441,241409,$6.25,$5.36,0.53,#FIELD!,"213,879"
"BANKUNITED, INC. (XNYS:BKU)",BKU,Finance,$42.36,0.345,0.82%,3941873963,261412,$43.47,$13.47,1.41,20.31,"491,862"
TOPBUILD CORP. (XNYS:BLD),BLD,Basic Industries,$197.62,-1.88,-0.94%,6525122887,140136,$224.89,$54.83,1.54,26.88,"276,986"
BlackRock Muni Inc II (XNYS:BLE),BLE,,$15.10,-0.035,-0.23%,355608493,28128,$16.29,$9.67,#FIELD!,#FIELD!,"40,041"
"BLACKROCK, INC. (XNYS:BLK)",BLK,Finance,$722.00,2.8,0.39%,1.10E+11,229276,$788.00,$323.98,1.16,22.55,"728,438"
BALL CORPORATION (XNYS:BLL),BLL,Consumer Durables,$86.54,0.04,0.05%,28378769349,473706,$102.76,$51.26,0.4,51.48,"1,715,232"
BlackRock Ltd Dur Inc (XNYS:BLW),BLW,Finance,$16.04,0.09,0.56%,573254571,33096,$16.25,$9.52,#FIELD!,#FIELD!,"103,818"
"Foreign Trade Bank of Latin America, Inc (XNYS:BLX)",BLX,Finance,$15.57,-0.07,-0.45%,617786460,35018,$18.66,$7.73,1.39,8.53,"143,464"
Banco Macro SA (XNYS:BMA),BMA,Finance,$14.18,0.08,0.57%,906688201,121427,$31.41,$11.45,1.39,2.07,"288,429"
BlackRock Hlth Sciences (XNYS:BME),BME,,$47.03,-0.8522,-1.78%,541600267,33197,$50.94,$27.00,#FIELD!,#FIELD!,"37,621"
BlackRock Hlth Sci Tr II (XNYS:BMEZ),BMEZ,,$28.33,0.2028,0.72%,2212507275,214083,$30.96,$12.60,#FIELD!,#FIELD!,"302,562"
"BADGER METER, INC. (XNYS:BMI)",BMI,Capital Goods,$105.03,-0.61,-0.58%,3061142412,63815,$111.77,$41.50,0.82,62.6,"228,398"
BANK OF MONTREAL (XNYS:BMO),BMO,Finance,$85.34,1.49,1.78%,55203899966,461301,$86.77,$38.31,1.16,13.06,"765,420"
BRISTOL-MYERS SQUIBB COMPANY (XNYS:BMY),BMY,Health Care,$61.52,-0.1072,-0.17%,1.38E+11,5178024,$67.16,$45.76,0.62,0,"13,577,265"
